ID,NAME,SYMBOL,USD_PRICE,PKR_PRICE,MARKET_CAP,VOLUME,DESCRIPTION,ICON_URL
_,༼ つ ◕_◕ ༽つ,gib,0.00061522,0.173169,607472,654.51,"༼ つ ◕_◕ ༽つ gib is a meme coin on Hedera, inspired by the classic copy pasta meme of persistence and community. Born from the viral 2013 Dota 2 Diretide event, gib embodies the power of collective action. As one of the first ASCII-named tokens on-chain, gib merges meme culture with blockchain innovation, helping users explore Hedera, crypto, and tech in a fun, engaging way. ༼ つ ◕_◕ ༽つ gib knowledge",https://coin-images.coingecko.com/coins/images/54238/large/gib-coingecko.png?1738872798
01coin,01coin,zoc,0.00017164,0.04831258,0,0.680759,,https://coin-images.coingecko.com/coins/images/5720/large/F1nTlw9I_400x400.jpg?1696506175
0chain,Zus,zcn,0.00604391,1.7,293582,69356,"Züs is a leading privacy and secure AI data platform that provides users full ownership and control of their data, with powerful AI agents on Vult.network to accelerate productivity. It is also ideal for on-prem, high speed S3 storage as well as backup and disaster recovery to prevent outage, breach, and ransomware issues. It has an unparalleled data integrity layer on the blockchain and a zero knowledge network, with data and key distributed so that its almost impossible to breach. Another standout feature is that it allows users to share encrypted data easily, even on a public link.
",https://coin-images.coingecko.com/coins/images/4934/large/200x200_transparent.png?1696505474
0dog,Bitcoin Dogs,0dog,0.00020418,0.057473,0,0,No description,No icon
0-knowledge-network,0 Knowledge Network,0kn,2.69e-06,0.00075507,0,0,No description,No icon
0-mee,O-MEE,ome,2.669e-05,0.00751176,0,0,No description,No icon
0vix-protocol,0VIX Protocol,vix,0,0,0,0,No description,No icon
0x,0x Protocol,zrx,0.263294,74.11,0,0,No description,No icon
0x0-ai-ai-smart-contract,0x0.ai: AI Smart Contract,0x0,0.063087,17.76,0,0,No description,No icon
0x678-landwolf-1933,Landwolf,wolf,4.1549e-08,1.17e-05,0,0,No description,No icon
0xcoco,0xCoco,coco,0.00046119,0.12934,0,0,No description,No icon
0xgasless-2,0xGasless,0xgas,0.157305,44.28,0,0,No description,No icon
0xgen,0xGen,xgn,9.062e-05,0.02550784,0,0,No description,No icon
0x-leverage,0x Leverage,oxl,0.00057986,0.162588,0,0,No description,No icon
0xlp,OpenLiquidity,openli,6.507e-05,0.0182384,0,0,No description,No icon
0xlsd,0xLSD,0xlsd,0,0,0,0,No description,No icon
0xmonk,0xMonk by Virtuals,monk,0.00031307,0.088121,0,0,No description,No icon
0xnumber,0xNumber,oxn,0.00210243,0.590176,0,0,No description,No icon
0xprivacy,0xPrivacy,0xp,4.952e-05,0.01389127,0,0,No description,No icon
0xscans,0xScans,scan,0.00133587,0.374761,0,0,No description,No icon
0xsim-by-virtuals,0xsim by Virtuals,sage,0.00052685,0.147892,0,0,No description,No icon
1000bonk,1000BONK,1000bonk,0.0126604,3.56,0,0,No description,No icon
1000btt,1000BTT,1000btt,0,0,0,0,No description,No icon
1000cat,1000CAT,1000cat,0.00585898,1.65,0,0,No description,No icon
1000chems,1000CHEMS,1000cheems,0.00127927,0.360082,0,0,No description,No icon
1000rats,1000RATS,1000rats,0,0,0,0,No description,No icon
1000sats-ordinals,1000SATS (Ordinals),1000sats,4.234e-05,0.01191728,0,0,No description,No icon
1000shib,1000SHIB,1000shib,0,0,0,0,No description,No icon
1000troll,1000TROLL,1000troll,4.43e-06,0.00124723,0,0,No description,No icon
1000x-by-virtuals,1000x by Virtuals,1000x,0.00142104,0.39999,0,0,No description,No icon
10-figs,10 figs,figs,5495.3,1546792,54953,4.05,"10 figs is literally 10 figs

limited supply of ten delicious figs

symbol of wealth & prosperity for centuries, now available on Solana.

wtf is 10 figs?

$figs is an entirely original meta

let’s break it down 👇

figs is commonly used slang by CT shitposters, even normie traders and 9-to-5ers

6 figs, 7 figs, 8 figs, 9 figs, 10 figs

what you earn, what you hold, what you’re worth, what you fumble, It’s all measured and discussed in figs

tokenomics:

tl:dr there are only 10 $figs

Unlike your average 1,000,000,000 supply dogs, cats and stonks. Only 10 figs were created, and there will only ever be 10

memes part 1:

beyond numbers & tokenomics…

figs is a just a f****** fruit

figs are frequently mentioned in the bible, symbolizing knowledge, prosperity & enlightenment. In ancient greece figs were considered a sacred fruit.

memes part 2:

fig heads

we’re all just degens trying to make more figs. figs are on the mind, always. The fig head is a symbol of the degen, figga chads, political & cultural figgas.

memes part 3:

fig season

 As a new meta unlike any other, its time will come. Figgas are humble fig farmers, they plant seeds, tend to their crops, work for their bags and wait patiently to harvest figs when most ripe

fig season is coming.

memes part 4:

fig brained = high IQ + retardio

A unique meta, that is also super retarded, the perfect recipe for any memecoin.

the community:

what is a meme without a community?

Their day one figgas and new holders alike stay, look out for each other and raid hard. Cooking up 500+ original memes, gifs, videos and stickers in the process

it’s always a sunny day on the farm, so lock in",https://coin-images.coingecko.com/coins/images/51713/large/200x200-figs-logo.png?1731899979
1900rugrat,1900Rugrat,rugrat,5.49e-06,0.00153984,5487.8,52.49,"$RUGRAT is the official token representing the burgeoning music career of 1900Rugrat, a rising star in the hip-hop scene. More than just a meme coin, $RUGRAT provides a unique opportunity to invest in the future of a talented artist and become part of a vibrant, growing community. This isn’t just about capitalizing on a trend; it's about supporting an artist and connecting with a passionate fan base.

The $RUGRAT token serves as a symbol of this burgeoning movement. Holding $RUGRAT isn't just about financial returns; it's about being part of something bigger, connecting directly with 1900Rugrat's creative journey. We’re fostering a dynamic community where fans can engage with exclusive content, participate in exciting events, and directly support the growth of the artist and his music.

Our roadmap is built around providing ongoing value to holders and deepening engagement with the community. This includes [Insert 2-3 specific roadmap milestones here, e.g., Exclusive merchandise drops for token holders, VIP access to 1900Rugrat's performances and events, a portion of token profits allocated towards the artist’s music production and promotion]. These initiatives are designed to build long-term value for $RUGRAT and reinforce the token's position as an integral part of the 1900Rugrat ecosystem.

The $RUGRAT token operates on a he artist and the community. For optimal trading, please ensure you set sufficient slippage on exchanges.


$RUGRAT is more than just a financial investment. It's a chance to support a rising talent while experiencing the unique opportunities of the Web3 community. Join the movement, be a part of the journey, and become a Rugrat today. [Insert links to your website, Telegram, Twitter, etc.]",https://coin-images.coingecko.com/coins/images/52255/large/ddb5663d-f159-440b-82e0-0b71171ac755.jpeg?1732835264
